Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2010-01-04 00:00:00-05:00,3.1342991702929286,3.201313484442482,3.098045456231408,3.1969192028045654,1199700,0.0,0.0,KDP
2010-01-05 00:00:00-05:00,3.181537986406775,3.2046086408882783,3.1474815255006585,3.1595661640167236,957100,0.0,0.0,KDP
2010-01-06 00:00:00-05:00,3.174945707322077,3.2342700537350173,3.161762658924163,3.2298755645751953,2014600,0.0,0.0,KDP
2010-01-07 00:00:00-05:00,3.1969182284249515,3.2035097536432504,3.1606645254130945,3.194720983505249,2051300,0.0,0.0,KDP
2010-01-08 00:00:00-05:00,3.1364955926069693,3.1738479221542613,3.1299040666694564,3.1716508865356445,1168300,0.0,0.0,KDP
2010-01-11 00:00:00-05:00,3.1661573967202425,3.1848335592705754,3.0980444812125394,3.1507771015167236,1281700,0.0,0.0,KDP
2010-01-12 00:00:00-05:00,3.1408898449626013,3.159566008321285,3.0958473703106257,3.0991430282592773,1352500,0.0,0.0,KDP
2010-01-13 00:00:00-05:00,3.114522991783086,3.1408892984889856,3.107931467491806,3.1266074180603027,727400,0.0,0.0,KDP
2010-01-14 00:00:00-05:00,3.116720278230691,3.1463822427100046,3.101339775290207,3.1310019493103027,1044700,0.0,0.0,KDP
2010-01-15 00:00:00-05:00,3.1331998770456746,3.1408900254221193,3.0914530579437915,3.124411106109619,2627200,0.0,0.0,KDP
2010-01-19 00:00:00-05:00,3.103538604401046,3.133200793564781,3.0980456995370456,3.1200175285339355,1356400,0.0,0.0,KDP
2010-01-20 00:00:00-05:00,3.092551607346038,3.123312409664968,3.0606923920343094,3.1134250164031982,1451900,0.0,0.0,KDP
2010-01-21 00:00:00-05:00,3.1222141055850687,3.1277070092726076,3.038720670381244,3.0486080646514893,2202100,0.0,0.0,KDP
2010-01-22 00:00:00-05:00,3.026635536877153,3.042016041865706,2.994776323515285,3.0057623386383057,1273200,0.0,0.0,KDP
2010-01-25 00:00:00-05:00,3.0310300267426853,3.0310300267426853,2.9881847982577967,3.0057623386383057,914800,0.0,0.0,KDP
2010-01-26 00:00:00-05:00,2.9936775074541657,3.0277339635464418,2.9717054786290094,3.0134522914886475,855700,0.0,0.0,KDP
2010-01-27 00:00:00-05:00,3.002467031680317,3.028833347172622,2.965114699014339,3.0211431980133057,1216500,0.0,0.0,KDP
2010-01-28 00:00:00-05:00,3.058494892827746,3.0650864179409423,3.012353797953762,3.0332272052764893,1200000,0.0,0.0,KDP
2010-01-29 00:00:00-05:00,3.0310304589371593,3.0760729387774184,3.015650161296341,3.0387206077575684,1397900,0.0,0.0,KDP
2010-02-01 00:00:00-05:00,3.058494525863168,3.0661846724960182,3.0299309744120255,3.0541000366210938,826800,0.0,0.0,KDP
2010-02-02 00:00:00-05:00,3.0519034221382713,3.0903541606016014,3.0486075547524965,3.0826640129089355,993100,0.0,0.0,KDP
2010-02-03 00:00:00-05:00,3.0749738652162693,3.103537420603893,3.0562977024451623,3.0826640129089355,1106700,0.0,0.0,KDP
2010-02-04 00:00:00-05:00,3.059593203789752,3.068381972892879,2.9420433384576308,2.9486348628997803,1713800,0.0,0.0,KDP
2010-02-05 00:00:00-05:00,2.9365508804928013,2.9815933583655565,2.8980999285294944,2.977199077606201,2351100,0.0,0.0,KDP
2010-02-08 00:00:00-05:00,2.964015156445057,2.9958745754068836,2.946437618238803,2.9486348628997803,1045200,0.0,0.0,KDP
2010-02-09 00:00:00-05:00,2.9706069115325016,2.9804940934955764,2.926662856163883,2.9508321285247803,1518100,0.0,0.0,KDP
2010-02-10 00:00:00-05:00,2.9453389959083136,2.956325009672419,2.9090852971653156,2.9486348628997803,1727800,0.0,0.0,KDP
2010-02-11 00:00:00-05:00,2.94533875273168,2.9991699852364526,2.917873825359402,2.9848883152008057,1522300,0.0,0.0,KDP
2010-02-12 00:00:00-05:00,2.959621989490047,2.9815938157389414,2.9343540854695678,2.9750022888183594,1550700,0.0,0.0,KDP
2010-02-16 00:00:00-05:00,2.9914807461888073,3.025537417326599,2.9673116782072264,3.0145514011383057,1673800,0.0,0.0,KDP
2010-02-17 00:00:00-05:00,3.012354211626941,3.154073173496723,3.0090583438473337,3.140890121459961,3933400,0.0,0.0,KDP
2010-02-18 00:00:00-05:00,3.1321019356550375,3.2057079868301406,3.1321019356550375,3.2013134956359863,1555100,0.0,0.0,KDP
2010-02-19 00:00:00-05:00,3.1848330153448288,3.211199320993918,3.1738470022725154,3.178241491317749,1825400,0.0,0.0,KDP
2010-02-22 00:00:00-05:00,3.173847032139269,3.191424569404071,3.1288045667056164,3.1474807262420654,1286800,0.0,0.0,KDP
