Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2010-01-04 00:00:00-05:00,9.484276282130441,9.600966141931911,9.387034732295882,9.568552017211914,1832400,0.0,0.0,WY
2010-01-05 00:00:00-05:00,9.570705858605585,9.775993230012181,9.44105028619494,9.771671295166016,1724500,0.0,0.0,WY
2010-01-06 00:00:00-05:00,9.577191501457783,9.773835067905752,9.497237741295438,9.663628578186035,2254400,0.0,0.0,WY
2010-01-07 00:00:00-05:00,9.624731901750673,9.646340758603303,9.456179685864964,9.620409965515137,1420700,0.0,0.0,WY
2010-01-08 00:00:00-05:00,9.562067311633868,9.605285859828335,9.443216922343014,9.531814575195312,1310000,0.0,0.0,WY
2010-01-11 00:00:00-05:00,9.538296159930242,9.613928818144231,9.460502945458787,9.594480514526367,1116800,0.0,0.0,WY
2010-01-12 00:00:00-05:00,9.512365618890152,9.594480772408817,9.363262503362348,9.482112884521484,907600,0.0,0.0,WY
2010-01-13 00:00:00-05:00,9.492920158632499,9.594483646718086,9.382712794044853,9.568552017211914,727100,0.0,0.0,WY
2010-01-14 00:00:00-05:00,9.510205079746099,9.538297260284924,9.391354688070658,9.477791786193848,780300,0.0,0.0,WY
2010-01-15 00:00:00-05:00,9.484274357147244,9.53397540045831,9.378389776627008,9.41944694519043,1341000,0.0,0.0,WY
2010-01-19 00:00:00-05:00,9.41728398113309,9.667950514454953,9.399996236057419,9.663628578186035,810000,0.0,0.0,WY
2010-01-20 00:00:00-05:00,9.581516372549768,9.644183231156386,9.43889572929092,9.50372314453125,1265500,0.0,0.0,WY
2010-01-21 00:00:00-05:00,9.497238791532244,9.53397401739277,9.067215564959605,9.069376945495605,1731800,0.0,0.0,WY
2010-01-22 00:00:00-05:00,9.024002508582296,9.13204851997221,8.896508182169173,8.915956497192383,1919900,0.0,0.0,WY
2010-01-25 00:00:00-05:00,9.045607923592824,9.108274778372913,8.85112486542195,8.957010269165039,1634700,0.0,0.0,WY
2010-01-26 00:00:00-05:00,8.91595141846034,9.075859786933194,8.883538128102114,8.980779647827148,1457000,0.0,0.0,WY
2010-01-27 00:00:00-05:00,8.950490154486651,8.9656347422439,8.760100815447478,8.924528121948242,2397500,0.05,0.0,WY
2010-01-28 00:00:00-05:00,8.98510611016506,9.01106896697324,8.675722415071428,8.757936477661133,1383200,0.0,0.0,WY
2010-01-29 00:00:00-05:00,8.833661549323258,8.978617140743967,8.625962790632872,8.632453918457031,2059400,0.0,0.0,WY
2010-02-01 00:00:00-05:00,8.736305163660202,8.872606503742956,8.628129025317321,8.870443344116211,2010100,0.0,0.0,WY
2010-02-02 00:00:00-05:00,8.88125615757714,9.212275529357095,8.779571201822833,9.186312675476074,2245300,0.0,0.0,WY
2010-02-03 00:00:00-05:00,9.162516081704014,9.201459546882473,8.978617026942123,9.034868240356445,2154700,0.0,0.0,WY
2010-02-04 00:00:00-05:00,9.04135674869269,9.04135674869269,8.710337390576658,8.738463401794434,2227800,0.0,0.0,WY
2010-02-05 00:00:00-05:00,8.65841204398157,8.710336091218526,8.275468688008148,8.535091400146484,4533200,0.0,0.0,WY
2010-02-08 00:00:00-05:00,8.545913161745498,8.701687032846248,8.481007657226273,8.491825103759766,2152000,0.0,0.0,WY
2010-02-09 00:00:00-05:00,8.615143369560437,8.710338027535292,8.44206179809796,8.60865306854248,2044900,0.0,0.0,WY
2010-02-10 00:00:00-05:00,8.608655507085329,8.628127240972923,8.372831541254811,8.491825103759766,1230200,0.0,0.0,WY
2010-02-11 00:00:00-05:00,8.504805013156904,8.587018252356913,8.416100646943546,8.571873664855957,1199000,0.0,0.0,WY
2010-02-12 00:00:00-05:00,8.439896330827832,8.569708105597664,8.364173414533848,8.554563522338867,1738400,0.0,0.0,WY
2010-02-16 00:00:00-05:00,8.658414669184076,8.770917906065224,8.630288653634263,8.757936477661133,1627800,0.0,0.0,WY
2010-02-17 00:00:00-05:00,8.818517563571943,8.863952164430419,8.643272764969097,8.723322868347168,1538500,0.0,0.0,WY
2010-02-18 00:00:00-05:00,8.671395944006182,8.799042940454152,8.658414515832009,8.78389835357666,1402100,0.0,0.0,WY
2010-02-19 00:00:00-05:00,8.762263341416045,8.995924093339815,8.7254838667529,8.933181762695312,2016000,0.0,0.0,WY
2010-02-22 00:00:00-05:00,8.976453095714827,8.976453095714827,8.762264055658743,8.935345649719238,1568900,0.0,0.0,WY
2010-02-23 00:00:00-05:00,8.911546781150092,8.974289116946688,8.79688037976318,8.874767303466797,2011600,0.0,0.0,WY
2010-02-24 00:00:00-05:00,8.922366864618114,9.1300648198254,8.872605122447121,9.09544849395752,2135500,0.0,0.0,WY
2010-02-25 00:00:00-05:00,8.95697777511633,8.95697777511633,8.777405125839602,8.920197486877441,2294700,0.0,0.0,WY
2010-02-26 00:00:00-05:00,8.963471697709268,9.006742302703787,8.721157465185366,8.740629196166992,1791400,0.0,0.0,WY
2010-03-01 00:00:00-05:00,8.801205310081931,9.039192339061497,8.783896742357923,9.026211738586426,1823000,0.0,0.0,WY
2010-03-02 00:00:00-05:00,9.058665501372417,9.22742076216644,9.058665501372417,9.177659034729004,1726200,0.0,0.0,WY
2010-03-03 00:00:00-05:00,9.227423505719612,9.355071362263399,9.179825748097699,9.253385543823242,1483200,0.0,0.0,WY
2010-03-04 00:00:00-05:00,9.292330174686084,9.335600793810872,9.112757394179658,9.201461791992188,1221600,0.0,0.0,WY
2010-03-05 00:00:00-05:00,9.30314379675983,9.396175300752875,9.28150890875506,9.385357856750488,966900,0.0,0.0,WY
2010-03-08 00:00:00-05:00,9.396177438333524,9.5021895691194,9.37886886373764,9.430793762207031,1042000,0.0,0.0,WY
2010-03-09 00:00:00-05:00,9.357227983174338,9.532473474886901,9.357227983174338,9.422133445739746,1021000,0.0,0.0,WY
2010-03-10 00:00:00-05:00,9.424299083898763,9.46107854986173,9.251216719571286,9.303141593933105,1377200,0.0,0.0,WY
2010-03-11 00:00:00-05:00,9.275019402536195,9.484881319183314,9.25554766980277,9.474063873291016,1203900,0.0,0.0,WY
2010-03-12 00:00:00-05:00,9.508675330668405,9.58223508054814,9.398335293189906,9.450260162353516,982400,0.0,0.0,WY
2010-03-15 00:00:00-04:00,9.441607239101947,9.458915806420729,9.287997418078373,9.38319206237793,788700,0.0,0.0,WY
2010-03-16 00:00:00-04:00,9.430792205884485,9.679597560072358,9.381031300110536,9.65796184539795,1580100,0.0,0.0,WY
2010-03-17 00:00:00-04:00,9.670943238282076,9.8267162567686,9.647144364887685,9.805081367492676,1177400,0.0,0.0,WY
2010-03-18 00:00:00-04:00,9.818059763431968,9.841858629474844,9.634159960121117,9.69690227508545,1025000,0.0,0.0,WY
2010-03-19 00:00:00-04:00,9.599547386169434,9.805082152008271,9.543296174360435,9.599547386169434,1698800,0.0,0.0,WY
2010-03-22 00:00:00-04:00,9.491366200541659,9.742334598363039,9.428624720074625,9.727190017700195,858300,0.0,0.0,WY
2010-03-23 00:00:00-04:00,9.735848731427971,9.805081367492676,9.5865660146606,9.805081367492676,1054700,0.0,0.0,WY
2010-03-24 00:00:00-04:00,9.763974442252058,9.828879933367231,9.703395268602213,9.735848426818848,885700,0.0,0.0,WY
2010-03-25 00:00:00-04:00,9.81157025745107,9.831041985124914,9.541130053824325,9.55411148071289,1123600,0.0,0.0,WY
2010-03-26 00:00:00-04:00,9.59522048379996,9.75315832832501,9.471899786264233,9.584403038024902,1339200,0.0,0.0,WY
2010-03-29 00:00:00-04:00,9.623345344485395,9.787773471615829,9.61901820163269,9.70988655090332,876400,0.0,0.0,WY
2010-03-30 00:00:00-04:00,9.705559793663229,9.937056580912971,9.705559793663229,9.789937019348145,1459500,0.0,0.0,WY
2010-03-31 00:00:00-04:00,9.748831026687403,9.852679990014844,9.679598384469111,9.794264793395996,1291500,0.0,0.0,WY
2010-04-01 00:00:00-04:00,9.859170365075503,9.941384437810823,9.781283435675538,9.865660667419434,1437800,0.0,0.0,WY
2010-04-05 00:00:00-04:00,9.893783652286588,10.079846632055355,9.865657641891369,9.978160858154297,1163500,0.0,0.0,WY
2010-04-06 00:00:00-04:00,9.952199298168171,10.045230792415616,9.889456974081662,10.021431922912598,1764700,0.0,0.0,WY
2010-04-07 00:00:00-04:00,9.993305185070902,10.064701788392183,9.878638813416886,9.945708274841309,1936600,0.0,0.0,WY
2010-04-08 00:00:00-04:00,9.91974780351783,9.934892391131532,9.807245388478359,9.915421485900879,1726600,0.0,0.0,WY
2010-04-09 00:00:00-04:00,9.978164662620355,10.229133217567359,9.859171100634132,10.209661483764648,2157800,0.0,0.0,WY
2010-04-12 00:00:00-04:00,10.019270843319005,10.051723178659975,9.930566472877967,9.982490539550781,2294800,0.0,0.0,WY
2010-04-13 00:00:00-04:00,9.939215172066307,9.952196595174408,9.87647369033823,9.908926010131836,1694700,0.0,0.0,WY
2010-04-14 00:00:00-04:00,9.982489064367122,10.239948676743563,9.917583577958572,10.185860633850098,1706400,0.0,0.0,WY
2010-04-15 00:00:00-04:00,10.138261248773606,10.226965591728801,10.0971538146338,10.14475154876709,1143200,0.0,0.0,WY
2010-04-16 00:00:00-04:00,10.114464165558497,10.40004897009,10.114464165558497,10.354615211486816,2724800,0.0,0.0,WY
2010-04-19 00:00:00-04:00,10.2724031831811,10.451975919777018,10.19884339625189,10.449811935424805,2100400,0.0,0.0,WY
2010-04-20 00:00:00-04:00,10.525532339650747,10.880349730634174,10.525532339650747,10.774336814880371,3099700,0.0,0.0,WY
2010-04-21 00:00:00-04:00,10.806796339954541,11.046947498114177,10.770016023907445,11.033966064453125,2812600,0.0,0.0,WY
2010-04-22 00:00:00-04:00,10.921457475906688,11.252476032915567,10.83058996038191,11.213533401489258,3982500,0.0,0.0,WY
2010-04-23 00:00:00-04:00,11.233004210470105,11.553206146645994,11.129155268460908,11.531570434570312,4545400,0.0,0.0,WY
2010-04-26 00:00:00-04:00,11.570514724255373,11.615948484909243,11.243823288906677,11.289257049560547,2625700,0.0,0.0,WY
2010-04-27 00:00:00-04:00,11.250312037219633,11.250312037219633,10.79813600117251,10.8435697555542,3041200,0.0,0.0,WY
2010-04-28 00:00:00-04:00,10.652989537581123,10.932362715874344,10.6118418766949,10.676812171936035,4660900,0.05,0.0,WY
2010-04-29 00:00:00-04:00,10.938855963848239,11.051471491419678,10.79159039440759,10.984335899353027,2818000,0.0,0.0,WY
2010-04-30 00:00:00-04:00,10.938862721914143,11.08612920847838,10.7222944565129,10.72446060180664,2339200,0.0,0.0,WY
2010-05-03 00:00:00-04:00,10.726624070194871,11.03631670237592,10.726624070194871,10.993002891540527,1755300,0.0,0.0,WY
2010-05-04 00:00:00-04:00,10.817578362407785,10.819743680226123,10.4299212077183,10.542536735534668,2263000,0.0,0.0,WY
2010-05-05 00:00:00-04:00,10.484068140235019,10.590186938046791,10.239345805304216,10.360624313354492,2162900,0.0,0.0,WY
2010-05-06 00:00:00-04:00,10.55120512318603,10.55120512318603,9.095866257603877,9.83436393737793,4081000,0.0,0.0,WY
2010-05-07 00:00:00-04:00,9.665438775920919,10.040101654201747,9.520337655650739,9.674100875854492,3575000,0.0,0.0,WY
2010-05-10 00:00:00-04:00,10.25017501928092,10.328138890379183,10.02061239142186,10.271831512451172,2605400,0.0,0.0,WY
2010-05-11 00:00:00-04:00,10.159213495941566,10.393107531613742,10.055260866579063,10.211190223693848,2335400,0.0,0.0,WY
2010-05-12 00:00:00-04:00,10.28049570577462,10.47973811112425,10.245844816751102,10.475406646728516,1703500,0.0,0.0,WY
2010-05-13 00:00:00-04:00,10.414764967532356,10.445084383921628,10.14622003096341,10.191699981689453,1474800,0.0,0.0,WY
2010-05-14 00:00:00-04:00,10.083413810013969,10.122396144839616,9.862514188049293,9.981626510620117,1935100,0.0,0.0,WY
2010-05-17 00:00:00-04:00,10.03143793965529,10.170041441403434,9.674100115470454,9.90366268157959,2044900,0.0,0.0,WY
2010-05-18 00:00:00-04:00,10.007619879296765,10.172212232413772,9.55499214743862,9.626460075378418,2513600,0.0,0.0,WY
2010-05-19 00:00:00-04:00,9.541998953230188,9.632957236560252,9.256128882560782,9.50734806060791,3069000,0.0,0.0,WY
2010-05-20 00:00:00-04:00,9.158669853029453,9.3903977730007,9.082870483398438,9.082870483398438,3501600,0.0,0.0,WY
2010-05-21 00:00:00-04:00,8.844644000103665,9.342750620483331,8.801330201344129,9.308099746704102,2908000,0.0,0.0,WY
2010-05-24 00:00:00-04:00,9.269119204499697,9.347083892128754,8.996243623940156,9.024396896362305,1963100,0.0,0.0,WY
2010-05-25 00:00:00-04:00,8.773177074349054,8.996242873375417,8.630242101001697,8.9940767288208,3581200,0.0,0.0,WY
2010-05-26 00:00:00-04:00,9.113192080453137,9.27561826303224,8.989747421642116,9.002741813659668,2785000,0.0,0.0,WY
2010-05-27 00:00:00-04:00,9.238798871833769,9.35141442878932,9.130514777777517,9.342751502990723,3160300,0.0,0.0,WY
2010-05-28 00:00:00-04:00,9.496517507552293,9.496517507552293,9.154340099425555,9.221476554870605,2103900,0.0,0.0,WY
2010-06-01 00:00:00-04:00,9.087201677974011,9.269119003108553,8.937769914026477,8.957261085510254,2119300,0.0,0.0,WY
2010-06-02 00:00:00-04:00,9.022231197723007,9.195485592854999,8.96159236596234,9.193320274353027,1955000,0.0,0.0,WY
2010-06-03 00:00:00-04:00,9.193325329123248,9.258295659752646,8.983253794817037,9.089372634887695,1517800,0.0,0.0,WY
2010-06-04 00:00:00-04:00,8.913947060562824,8.974585892072234,8.651899737377596,8.688715934753418,2746800,0.0,0.0,WY
2010-06-07 00:00:00-04:00,8.693047818308003,8.70387606358093,8.43100048244924,8.441828727722168,3704300,0.0,0.0,WY
2010-06-08 00:00:00-04:00,8.446160331569777,8.580432392700564,8.318385052482393,8.558775901794434,2599000,0.0,0.0,WY
2010-06-09 00:00:00-04:00,8.664897020653186,8.721205239350969,8.381193086169068,8.435335159301758,2476300,0.0,0.0,WY
2010-06-10 00:00:00-04:00,8.602090589372978,8.725534417673698,8.534954138871324,8.706043243408203,1725300,0.0,0.0,WY
2010-06-11 00:00:00-04:00,8.623747145788968,8.900954225250839,8.623747145788968,8.881463050842285,1909400,0.0,0.0,WY
2010-06-14 00:00:00-04:00,8.95509749049621,9.046056592032212,8.738529223967717,8.758020401000977,2130900,0.0,0.0,WY
2010-06-15 00:00:00-04:00,8.825154304504395,8.846810794426693,8.682219323047677,8.825154304504395,2282300,0.0,0.0,WY
2010-06-16 00:00:00-04:00,8.716872511912692,8.771014577204076,8.59992545260914,8.651902198791504,2642900,0.0,0.0,WY
2010-06-17 00:00:00-04:00,8.71253813829288,8.714704282820943,8.452656146444632,8.539283752441406,2546700,0.0,0.0,WY
2010-06-18 00:00:00-04:00,8.582601355299781,8.599926388484372,8.487310781285974,8.50030517578125,2460000,0.0,0.0,WY
2010-06-21 00:00:00-04:00,8.654064755624146,8.710372948193987,8.495970074572366,8.543615341186523,3069600,0.0,0.0,WY
2010-06-22 00:00:00-04:00,8.541446697592844,8.628074279520211,8.21876064850419,8.242583274841309,2228100,0.0,0.0,WY
